query_id,anchor_id,cohort_label,icd_codes,ops_filter,diagnosis_position,department,data_year,stratifier,priority,strat_priority,status,N_result,query_datetime,notes
Q093,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2021,los_band,core,core,pending,,,
Q094,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2022,los_band,core,core,pending,,,
Q095,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2023,los_band,core,core,pending,,,
Q096,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2024,los_band,core,core,pending,,,
Q097,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2019,discharge_reason,core,core,pending,,,
Q098,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2020,discharge_reason,core,core,pending,,,
Q099,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2021,discharge_reason,core,core,pending,,,
Q100,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2022,discharge_reason,core,core,pending,,,
Q101,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2023,discharge_reason,core,core,pending,,,
Q102,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2024,discharge_reason,core,core,pending,,,
Q103,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2019,ops_distribution,core,core,pending,,,
Q104,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2020,ops_distribution,core,core,pending,,,
Q105,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2021,ops_distribution,core,core,pending,,,
Q106,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2022,ops_distribution,core,core,pending,,,
Q107,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2023,ops_distribution,core,core,pending,,,
Q108,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2024,ops_distribution,core,core,pending,,,
Q109,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2019,summary,secondary,core,pending,,,
Q110,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2020,summary,secondary,core,pending,,,
Q111,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2021,summary,secondary,core,pending,,,
Q112,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2022,summary,secondary,core,pending,,,
Q113,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2023,summary,secondary,core,pending,,,
Q114,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2024,summary,secondary,core,pending,,,
Q115,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2019,sex,secondary,core,pending,,,
Q116,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2020,sex,secondary,core,pending,,,
Q117,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2021,sex,secondary,core,pending,,,
Q118,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2022,sex,secondary,core,pending,,,
Q119,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2023,sex,secondary,core,pending,,,
Q120,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2024,sex,secondary,core,pending,,,
Q121,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2019,age_band,secondary,core,pending,,,
Q122,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2020,age_band,secondary,core,pending,,,
Q123,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2021,age_band,secondary,core,pending,,,
Q124,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2022,age_band,secondary,core,pending,,,
Q125,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2023,age_band,secondary,core,pending,,,
Q126,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2024,age_band,secondary,core,pending,,,
Q127,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2019,los_band,secondary,core,pending,,,
Q128,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2020,los_band,secondary,core,pending,,,
Q129,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2021,los_band,secondary,core,pending,,,
Q130,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2022,los_band,secondary,core,pending,,,
Q131,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2023,los_band,secondary,core,pending,,,
Q132,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2024,los_band,secondary,core,pending,,,
Q133,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2019,discharge_reason,secondary,core,pending,,,
Q134,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2020,discharge_reason,secondary,core,pending,,,
Q135,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2021,discharge_reason,secondary,core,pending,,,
Q136,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2022,discharge_reason,secondary,core,pending,,,
Q137,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2023,discharge_reason,secondary,core,pending,,,
Q138,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2024,discharge_reason,secondary,core,pending,,,
Q139,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2019,ops_distribution,secondary,core,pending,,,
Q140,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2020,ops_distribution,secondary,core,pending,,,
Q141,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2021,ops_distribution,secondary,core,pending,,,
Q142,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2022,ops_distribution,secondary,core,pending,,,
Q143,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2023,ops_distribution,secondary,core,pending,,,
Q144,A4,Principal D32 broad (D32.0+D32.1+D32.9) sensitivity,D32.0+D32.1+D32.9,,principal,,2024,ops_distribution,secondary,core,pending,,,
Q145,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2019,summary,secondary,core,pending,,,
Q146,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2020,summary,secondary,core,pending,,,
Q147,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2021,summary,secondary,core,pending,,,
Q148,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2022,summary,secondary,core,pending,,,
Q149,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2023,summary,secondary,core,pending,,,
Q150,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2024,summary,secondary,core,pending,,,
Q151,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2019,sex,secondary,core,pending,,,
Q152,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2020,sex,secondary,core,pending,,,
Q153,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2021,sex,secondary,core,pending,,,
Q154,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2022,sex,secondary,core,pending,,,
Q155,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2023,sex,secondary,core,pending,,,
Q156,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2024,sex,secondary,core,pending,,,
Q157,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2019,age_band,secondary,core,pending,,,
Q158,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2020,age_band,secondary,core,pending,,,
Q159,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2021,age_band,secondary,core,pending,,,
Q160,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2022,age_band,secondary,core,pending,,,
Q161,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2023,age_band,secondary,core,pending,,,
Q162,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2024,age_band,secondary,core,pending,,,
Q163,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2019,ops_distribution,secondary,core,pending,,,
Q164,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2020,ops_distribution,secondary,core,pending,,,
Q165,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2021,ops_distribution,secondary,core,pending,,,
Q166,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2022,ops_distribution,secondary,core,pending,,,
Q167,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2023,ops_distribution,secondary,core,pending,,,
Q168,A5,Principal D32.1 spinal (reported separately),D32.1,,principal,,2024,ops_distribution,secondary,core,pending,,,
Q169,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2019,summary,secondary,core,pending,,,
Q170,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2020,summary,secondary,core,pending,,,
Q171,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2021,summary,secondary,core,pending,,,
Q172,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2022,summary,secondary,core,pending,,,
Q173,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2023,summary,secondary,core,pending,,,
Q174,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2024,summary,secondary,core,pending,,,
Q175,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2019,age_band,secondary,core,pending,,,
Q176,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2020,age_band,secondary,core,pending,,,
Q177,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2021,age_band,secondary,core,pending,,,
Q178,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2022,age_band,secondary,core,pending,,,
Q179,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2023,age_band,secondary,core,pending,,,
Q180,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2024,age_band,secondary,core,pending,,,
Q181,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2019,discharge_reason,secondary,core,pending,,,
Q182,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2020,discharge_reason,secondary,core,pending,,,
Q183,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2021,discharge_reason,secondary,core,pending,,,
Q184,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2022,discharge_reason,secondary,core,pending,,,
Q185,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2023,discharge_reason,secondary,core,pending,,,
Q186,A6,Principal D32.0 AND skull-base dural resection (operative sensitivity),D32.0,5-016.4+5-016.5,principal,,2024,discharge_reason,secondary,core,pending,,,
Q187,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2019,summary,exploratory,core,pending,,,
Q188,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2020,summary,exploratory,core,pending,,,
Q189,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2021,summary,exploratory,core,pending,,,
Q190,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2022,summary,exploratory,core,pending,,,
Q191,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2023,summary,exploratory,core,pending,,,
Q192,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2024,summary,exploratory,core,pending,,,
Q193,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2019,sex,exploratory,core,pending,,,
Q194,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2020,sex,exploratory,core,pending,,,
Q195,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2021,sex,exploratory,core,pending,,,
Q196,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2022,sex,exploratory,core,pending,,,
Q197,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2023,sex,exploratory,core,pending,,,
Q198,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2024,sex,exploratory,core,pending,,,
Q199,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2019,age_band,exploratory,core,pending,,,
Q200,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2020,age_band,exploratory,core,pending,,,
Q201,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2021,age_band,exploratory,core,pending,,,
Q202,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2022,age_band,exploratory,core,pending,,,
Q203,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2023,age_band,exploratory,core,pending,,,
Q204,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2024,age_band,exploratory,core,pending,,,
Q205,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2019,discharge_reason,exploratory,core,pending,,,
Q206,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2020,discharge_reason,exploratory,core,pending,,,
Q207,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2021,discharge_reason,exploratory,core,pending,,,
Q208,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2022,discharge_reason,exploratory,core,pending,,,
Q209,A7,Principal D42.0 (exploratory behaviour cohort — NOT a grade),D42.0,,principal,,2023,discharge_reason,exploratory,core,pending,,,
